lab	sample	province	proj	lon_province	lat_province
Beijing	1528	北京市	11	39.54	116.25
Guangdong	1825	广东省	9	23.06	113.15
Shanghai	1914	上海市	5	31.23	121.46
Hongkong	1696	香港特别行政区	8	22.2	114.1
Inner mongolia	47	内蒙古自治区	1	40.84258	111.670801
Liaoning	250	辽宁省	3	41.8	123.38
Shandong	93	山东省	1	36.4	117
Hebei	123	河北省	1	38.03	114.26
Hubei	78	湖北省	1	30.600456	114.302962
Zhejiang	618	浙江省	4	30.16	120.1
Yunnan	1742	云南省	2	24.903053	102.846342
Chongqing	525	重庆市	3	29.582063	106.555562
Fujian	73	福建省	1	26.081467	119.305195
Sichuan	95	四川省	1	30.581481	104.07332
Jiangsu	254	江苏省	1	32.0671	118.793798
Shannxi	171	陕西省	1	37.876079	112.546048
Guangxi	133	广西壮族自治区	1	22.836252	108.354338
Hainan	162	海南省	1	20.07656	110.336647
