name	Avg.Control	Avg.Diseasse	fold_change	enriched	Avg.weighted.g1	Avg.weighted.g2	all.avg	pvalue	qvalue
Circoviridae	8.45E-05	6.92E-05	1.22245383	Control	9.33E-05	8.32E-05	7.55E-05	8.53E-23	1.79E-21
Inoviridae	0.002890778	0.002417237	1.19590168	Control	0.002890778	0.002424391	0.002611183	5.81E-22	6.10E-21
Retroviridae	0.000775886	0.003723588	4.799143653	Disease	0.001046111	0.004564793	0.002516309	1.45E-16	1.02E-15
Drexlerviridae	0.000147075	0.000329783	2.242273365	Disease	0.000206368	0.000537104	0.000254952	2.19E-11	1.15E-10
Podoviridae	0.002984286	0.00421371	1.411965913	Disease	0.002984286	0.00421371	0.00371018	4.83E-09	2.03E-08
Bornaviridae	4.31E-06	2.22E-05	5.154215207	Disease	3.45E-05	0.000134022	1.49E-05	8.14E-07	2.85E-06
Autographiviridae	0.001158405	0.001623711	1.401678076	Disease	0.001158405	0.001624147	0.001433137	5.43E-06	1.63E-05
Guelinviridae	1.22E-05	2.68E-05	2.201242549	Disease	4.28E-05	0.000112435	2.08E-05	1.68E-05	4.41E-05
Metaviridae	7.57E-05	6.25E-05	1.210739423	Control	0.000174265	0.000131797	6.79E-05	0.000121844	0.000284303
Microviridae	0.00765499	0.007877536	1.029072075	Disease	0.00765499	0.007877536	0.007786389	0.000324316	0.000661613
Rountreeviridae	7.34E-06	9.32E-05	12.69436792	Disease	0.000321766	0.002395974	5.80E-05	0.000346559	0.000661613
Myoviridae	0.058714473	0.058026347	1.011858844	Control	0.058714473	0.058026347	0.05830818	0.002540763	0.004446335

