name	g1	g2	mean1	mean2	pvalue	fold_change	enriched	qval	Project
1	Siphoviridae	Control	Disease	0.0641168968844523	0.05703323644837	0.185747834350244	1.12420232266663	Control	0.414360553550544	LiJ_2017.HTN
2	unknown	Control	Disease	0.818924577638307	0.843657741742772	0.063679653549811	1.03020200489744	Disease	0.30778499215742	LiJ_2017.HTN
3	Myoviridae	Control	Disease	0.0668930032442226	0.0575014490021535	0.109512869181408	1.16332726226981	Control	0.396984150782606	LiJ_2017.HTN
4	Quimbyviridae	Control	Disease	0.01730387121075	0.0189798760773462	0.182695700888011	1.0968572203401	Disease	0.414360553550544	LiJ_2017.HTN
5	Podoviridae	Control	Disease	0.00320949907980544	0.00353189087827186	0.376434516455446	1.10044925717379	Disease	0.574557946168838	LiJ_2017.HTN
6	Microviridae	Control	Disease	0.0056208006802864	0.00519736114309385	0.642517811613071	1.08147202504009	Control	0.71665448218381	LiJ_2017.HTN
7	Podoviridae_crAss-like	Control	Disease	0.00688556275698029	0.0047445469530318	0.28082355871824	1.45125821814881	Control	0.526186423554708	LiJ_2017.HTN
8	Inoviridae	Control	Disease	0.00148219331584376	0.00122305011125205	0.0154133340311936	1.21188273661692	Control	0.111746671726153	LiJ_2017.HTN
9	Salasmaviridae	Control	Disease	0.00066668746153464	0.000662960560351459	0.702912227541066	1.00562160316325	Control	0.754979799951515	LiJ_2017.HTN
10	Gratiaviridae	Control	Disease	0.00962579159512497	0.000102033015609862	0.165150326952471	94.3399696420866	Control	0.414360553550544	LiJ_2017.HTN
11	Flandersviridae	Control	Disease	0.00320172943993877	0.00388911478894377	0.147625795052805	1.2146918913355	Disease	0.414360553550544	LiJ_2017.HTN
12	Autographiviridae	Control	Disease	0.00187346343131953	0.00285475072613218	0.629339836131702	1.52378246535695	Disease	0.71665448218381	LiJ_2017.HTN
13	Caulimoviridae	Control	Disease	3.22871326496819e-06	4.4819036002828e-06	0.977372208058254	1.38813924696003	Disease	0.977372208058254	LiJ_2017.HTN
14	Mitoviridae	Control	Disease	3.18009056177688e-06	4.43948522886274e-06	0.308454110359656	1.39602478062202	Disease	0.526186423554708	LiJ_2017.HTN
15	Metaviridae	Control	Disease	9.06506185303511e-06	1.22242406836735e-05	0.44190148956363	1.34850052673172	Disease	0.640757159867264	LiJ_2017.HTN
16	Circoviridae	Control	Disease	0.000134634619234997	7.55100626232604e-05	0.00594925666569457	1.7830023517094	Control	0.0575094811017142	LiJ_2017.HTN
17	Herelleviridae	Control	Disease	4.41366621362322e-06	2.16451361028246e-06	0.0839923629471119	2.03910300801816	Control	0.347968360780892	LiJ_2017.HTN
18	Drexlerviridae	Control	Disease	1.83488265636075e-05	5.64753527954576e-05	0.00019207515318228	3.07787272388683	Disease	0.00557017944228611	LiJ_2017.HTN
19	Guelinviridae	Control	Disease	3.52648829268293e-07	5.59513593469388e-05	0.141927915362421	158.660272495535	Disease	0.414360553550544	LiJ_2017.HTN
20	Chaseviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	LiJ_2017.HTN
21	Schitoviridae	Control	Disease	2.75729372926829e-06	9.51113320408163e-07	0.301536901064278	2.89901704676475	Control	0.526186423554708	LiJ_2017.HTN
22	Retroviridae	Control	Disease	1.97263201902439e-05	0.000261347993717347	0.00191271494399801	13.2486946980919	Disease	0.0277343666879712	LiJ_2017.HTN
