Kos	Control_x	Disease_x	% Control	% Disease	enriched	pvalue	qvalue	max (%)	xxx	desc
K00558	1052	229	22.72	9.05	Control	2.51E-51	1.45E-48	 22.721 	1 	DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
K01358	851	199	18.38	7.86	Control	5.12E-36	2.46E-33	 18.380 	1 	clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
K01356	443	341	9.57	13.47	Disease	5.85E-07	1.69E-05	 13.473 	1 	lexA; repressor LexA [EC:3.4.21.88]
K01520	311	57	6.72	2.25	Control	5.01E-18	3.81E-16	 6.717 	1 	dut, DUT; dUTP pyrophosphatase [EC:3.6.1.23]
K01448	226	162	4.88	6.40	Disease	0.007419373	0.08367082	 6.401 	0 	amiABC; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K21636	276	39	5.96	1.54	Control	6.51E-21	7.52E-19	 5.961 	1 	nrdD; ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]
K08640	258	40	5.57	1.58	Control	4.86E-18	3.81E-16	 5.572 	1 	E3.4.17.14; zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]
K00942	232	37	5.01	1.46	Control	9.76E-16	5.32E-14	 5.011 	1 	E2.7.4.8, gmk; guanylate kinase [EC:2.7.4.8]
K00390	228	67	4.92	2.65	Control	2.02E-06	5.23E-05	 4.924 	1 	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
K00682	197	26	4.25	1.03	Control	5.34E-16	3.02E-14	 4.255 	1 	GGCT; gamma-glutamylcyclotransferase [EC:4.3.2.9]
K03465	172	5	3.71	0.20	Control	1.27E-26	2.44E-24	 3.715 	1 	thyX, thy1; thymidylate synthase (FAD) [EC:2.1.1.148]
K08281	162	16	3.50	0.63	Control	2.52E-16	1.55E-14	 3.499 	1 	pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]
K01916	146	15	3.15	0.59	Control	1.94E-14	1.04E-12	 3.153 	1 	nadE; NAD+ synthase [EC:6.3.1.5]
K05826	140	7	3.02	0.28	Control	5.66E-19	5.11E-17	 3.024 	1 	lysW; alpha-aminoadipate/glutamate carrier protein LysW
K17398	127	4	2.74	0.16	Control	1.92E-19	1.98E-17	 2.743 	1 	DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]
K17733	119	59	2.57	2.33	Control	0.578668698	0.893377824	 2.570 	0 	cwlK; peptidoglycan LD-endopeptidase CwlK [EC:3.4.-.-]
K03503	1	63	0.02	2.49	Disease	8.90E-28	1.84E-25	 2.489 	1 	umuD; DNA polymerase V [EC:3.4.21.-]
K04487	113	2	2.44	0.08	Control	3.31E-19	3.08E-17	 2.441 	1 	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]
K00789	103	22	2.22	0.87	Control	1.70E-05	0.000399016	 2.225 	1 	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]
K01939	93	0	2.01	0.00	Control	3.63E-18	2.99E-16	 2.009 	1 	purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]
K00763	85	2	1.84	0.08	Control	4.04E-14	2.12E-12	 1.836 	1 	pncB, NAPRT1; nicotinate phosphoribosyltransferase [EC:6.3.4.21]
K21471	78	40	1.68	1.58	Control	0.771709017	1	 1.685 	0 	cwlO; peptidoglycan DL-endopeptidase CwlO [EC:3.4.-.-]
K00820	76	1	1.64	0.04	Control	1.11E-13	5.62E-12	 1.641 	1 	glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
K00948	75	18	1.62	0.71	Control	0.000958308	0.015900202	 1.620 	1 	PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
K00969	71	1	1.53	0.04	Control	9.51E-13	4.50E-11	 1.533 	1 	nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]
K03462	68	15	1.47	0.59	Control	0.000719291	0.012073216	 1.469 	1 	NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12]
K08309	60	29	1.30	1.15	Control	0.6557923	0.971976331	 1.296 	0 	slt; soluble lytic murein transglycosylase [EC:4.2.2.-]
K07706	58	7	1.25	0.28	Control	1.03E-05	0.000252001	 1.253 	1 	agrC, blpH, fsrC; two-component system, LytTR family, sensor histidine kinase AgrC [EC:2.7.13.3]
K07816	56	7	1.21	0.28	Control	1.58E-05	0.00037389	 1.210 	1 	E2.7.6.5X; putative GTP pyrophosphokinase [EC:2.7.6.5]
K12410	51	3	1.10	0.12	Control	4.02E-07	1.18E-05	 1.102 	1 	npdA; NAD-dependent deacetylase [EC:2.3.1.286]
K03798	50	4	1.08	0.16	Control	2.47E-06	6.28E-05	 1.080 	1 	ftsH, hflB; cell division protease FtsH [EC:3.4.24.-]
